cod_cliente,nm_cliente,nm_pais_cliente,nm_cidade_cliente,nm_rua_cliente,num_casa_cliente,num_telefone_cliente,dt_nascimento_cliente,dt_atualizacao,tp_pessoa,vl_renda,anomesdia
979,MELISSA DURHAM,Togo,New William,Smith Rapids,53110,(45)44413-8880,1983-08-22,2024-07-05,PJ,26504.10,20260710
980,DIANA WILLIAMS,Bermuda,Frankborough,Nguyen Bridge,15217,(30)19810-8705,1945-11-09,2025-04-02,PF,1438.95,20260710
982,KEVIN MARTIN,Australia,North Heatherberg,Drew Crossing,90,(56)37397-3738,1998-02-05,2024-08-14,PJ,17972.57,20260710
983,ANTHONY WILLIAMS,Bermuda,Brooksfort,Martin Plaza,315,(87)16254-4027,1959-09-13,2024-06-04,PF,5782.81,20260710
984,MEGAN SCHULTZ,Saint Helena,West Justin,Myers Road,660,,1989-06-01,2025-02-21,PJ,51332.52,20260710
985,BRIAN YANG,Uruguay,Glennview,Medina Road,307,(25)96902-6898,1975-07-11,2024-06-18,PF,8524.82,20260710
986,JILL WILLIAMS,Korea,Potterfurt,Alex Brook,19780,(76)70730-7717,1992-04-12,2024-05-26,PF,5373.14,20260710
989,GARY MALDONADO,Brazil,Lutzstad,Jennifer Trail,549,(49)48763-5968,1967-11-28,2024-08-27,PF,2869.24,20260710
990,JAMES SANTANA JR.,Guadeloupe,Ryanbury,Alice Fall,99588,(93)67351-2127,1988-08-09,2024-09-24,PJ,64187.30,20260710
994,DANIEL WIGGINS,Aruba,Port Timothyland,Todd Cliff,930,(26)99375-2605,1998-12-27,2024-11-04,PJ,49324.28,20260710
996,SOPHIA JOHNSON,Martinique,Castanedaberg,Darryl Drive,6472,(90)83227-3444,1963-01-11,2024-07-11,PF,6251.76,20260710
998,ERIC CAMACHO,Saint Lucia,Lopezfort,Vazquez Burgs,7444,,1949-04-15,2025-03-31,PF,8360.09,20260710
1000,MICHAEL OWENS,Zambia,Chaneyland,Jennifer Crossroad,8373,(75)81616-4893,1988-11-15,2025-03-06,PJ,86772.41,20260710
